step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
43,,,,,0.00041660291026346385,0.0782080888748169,0.002163503784686327,0.002163503784686327,,,,
44,,,,,0.0004401834448799491,0.07867351919412613,0.0021869295742362738,0.0021869295742362738,,,,
45,,,,,0.0003886819176841527,0.07478729635477066,0.0020640233997255564,0.0020640233997255564,,,,
46,,,,,0.0004079987993463874,0.08171205967664719,0.002246800810098648,0.002246800810098648,,,,
47,,,,,0.0003847471089102328,0.0772208496928215,0.002122894860804081,0.002122894860804081,,,,
48,,,,,0.00034509465331211686,0.0680137425661087,0.0018728908617049456,0.0018728908617049456,,,,
49,,,,,0.0003885503683704883,0.07975734770298004,0.0021882089786231518,0.0021882089786231518,,,,
50,0.00025998425553552806,0.0619327574968338,0.0016783110331743956,0.0016783110331743956,0.00039265831583179533,0.07827425003051758,0.002153185661882162,0.002153185661882162,100.0,100.0,2.8729802645169773,2.8729802645169773
51,,,,,0.0003517433360684663,0.0687284767627716,0.0018940834561362863,0.0018940834561362863,,,,
52,,,,,0.00034755095839500427,0.06681002676486969,0.0018440261483192444,0.0018440261483192444,,,,
53,,,,,0.0003561794583220035,0.06797876209020615,0.0018775586504489183,0.0018775586504489183,,,,
54,,,,,0.00033990273368544877,0.06511533260345459,0.0017978346440941095,0.0017978346440941095,,,,
55,,,,,0.0003421623259782791,0.06834624707698822,0.0018797372467815876,0.0018797372467815876,,,,
56,,,,,0.00036369089502841234,0.07860644906759262,0.0021470068022608757,0.0021470068022608757,,,,
57,,,,,0.00037360339774750173,0.0813174769282341,0.002219738671556115,0.002219738671556115,,,,
58,,,,,0.0003199047641828656,0.05522780492901802,0.0015406474703922868,0.0015406474703922868,,,,
59,,,,,0.0003126473166048527,0.05983281508088112,0.0016521441284567118,0.0016521441284567118,,,,
60,0.00019294263620395213,0.05153469368815422,0.001384838717058301,0.001384838717058301,0.0003045026969630271,0.05564931035041809,0.0015434841625392437,0.0015434841625392437,100.0,100.0,2.6644856379582333,2.6644856379582333
61,,,,,0.00029379240004345775,0.05477631837129593,0.001516304211691022,0.001516304211691022,,,,
62,,,,,0.000280900567304343,0.053489115089178085,0.001477678306400776,0.001477678306400776,,,,
63,,,,,0.00026836516917683184,0.048155225813388824,0.0013380632735788822,0.0013380632735788822,,,,
64,,,,,0.0002971590729430318,0.05988200753927231,0.0016456296434625983,0.0016456296434625983,,,,
65,,,,,0.00029520824318751693,0.05747901648283005,0.0015845797024667263,0.0015845797024667263,,,,
66,,,,,0.0002689493412617594,0.04710127413272858,0.0013120066141709685,0.0013120066141709685,,,,
